city,realtravelres,willtravelres,realtravel,willtravel,realtravelcut,willtravelcut,rainfall,wind,typhoon,distance,roadden,highwayden,transport,GDP,urban,popout,car,phone,search
安庆,0.04,0.09,16.25,40.46,0.63,4.00,0.10,5.00,429.14,180.83,1.69,2.91,650.00,66589.51,0.56,0.18,68.34,98.65,0.62
蚌埠,0.01,0.06,23.64,52.90,0.34,3.66,0.40,6.00,404.51,146.31,1.86,4.57,321.00,60812.33,0.58,0.10,59.34,101.63,0.39
亳州,-0.02,0.05,16.37,39.45,-0.29,1.97,0.00,6.00,521.50,156.33,2.14,3.61,473.00,42368.95,0.44,0.25,80.01,94.82,0.64
常州,0.29,0.19,57.63,149.73,23.23,34.46,158.30,8.00,170.96,103.97,1.95,8.67,1533.00,178243.00,0.78,0.27,175.97,128.13,1.47
池州,0.00,0.07,10.24,27.07,0.01,2.01,1.50,6.00,386.33,160.08,1.14,3.89,647.00,81216.11,0.60,0.16,23.29,111.59,0.80
滁州,0.07,0.11,41.67,89.46,3.00,11.23,18.90,7.00,310.51,140.70,1.52,4.79,283.00,89135.31,0.63,0.12,62.66,98.53,0.82
阜阳,0.00,0.07,17.37,45.83,-0.04,3.24,0.00,6.00,535.99,183.91,2.11,2.54,949.00,39716.50,0.43,0.24,116.92,92.02,0.70
杭州,0.19,0.14,123.12,310.53,28.26,51.73,27.00,6.00,204.00,112.46,0.99,4.75,4099.85,152588.00,0.84,0.32,384.83,149.45,0.61
合肥,0.06,0.14,77.50,176.93,4.73,28.79,0.10,6.00,364.83,149.24,1.76,4.98,1010.00,124694.62,0.85,0.19,272.75,118.86,0.88
湖州,0.26,0.19,45.12,111.30,15.53,26.23,32.20,6.00,189.03,113.10,1.41,7.77,304.82,112902.00,0.66,0.21,107.52,134.73,0.83
淮安,0.08,0.10,35.56,79.12,3.28,9.26,0.00,5.00,344.51,149.80,1.37,3.99,793.00,104054.00,0.67,0.21,81.36,110.87,0.72
淮北,-0.06,0.01,13.86,29.66,-0.84,0.21,0.00,6.00,494.41,104.34,1.96,3.46,110.00,66809.74,0.65,0.07,39.42,111.77,0.54
淮南,0.01,0.06,23.99,51.39,0.13,3.49,0.00,6.00,434.15,132.03,1.72,3.78,388.00,50910.80,0.62,0.16,44.18,101.87,0.58
黄山,-0.01,0.08,8.19,32.19,-0.07,2.66,18.70,6.00,346.74,195.28,0.80,4.33,574.00,75761.90,0.59,0.10,24.74,110.40,0.78
嘉兴,0.31,0.20,64.39,162.58,28.77,39.40,91.80,7.00,163.94,100.59,1.68,8.70,276.00,121794.00,0.72,0.32,180.83,130.71,0.75
金华,0.05,0.04,50.25,126.37,2.87,4.72,0.00,5.00,302.32,148.01,1.21,3.73,645.46,78086.00,0.69,0.30,248.63,140.54,0.45
丽水,-0.02,0.02,13.35,32.35,-0.26,0.74,0.00,5.00,401.53,146.54,0.88,2.62,690.00,72812.00,0.63,0.07,51.69,113.34,0.24
连云港,0.01,0.06,19.81,48.46,0.30,2.87,1.10,3.00,430.80,209.78,1.64,4.76,1142.00,87042.00,0.63,0.16,95.07,108.71,0.52
六安,0.00,0.05,28.02,60.46,-0.14,3.36,2.70,6.00,456.16,141.42,1.64,2.61,498.00,45778.49,0.51,0.38,69.66,99.64,0.56
马鞍山,0.09,0.11,21.22,45.99,2.06,5.74,15.10,7.00,267.42,109.58,1.91,4.77,335.00,115322.96,0.73,0.07,38.41,115.19,0.91
南京,0.16,0.14,82.01,222.97,15.82,35.43,52.90,8.00,246.38,140.40,1.49,8.43,4871.00,178781.00,0.87,0.22,306.54,142.67,1.38
南通,0.33,0.07,34.29,127.11,17.16,10.10,31.60,7.00,183.77,149.77,1.84,5.07,957.00,147057.00,0.72,0.04,215.34,118.01,1.00
宁波,0.28,0.13,35.85,117.29,13.67,18.18,16.70,6.00,211.02,155.07,1.20,6.10,1104.39,163911.00,0.79,0.35,335.71,144.04,0.71
衢州,0.05,0.08,14.92,35.19,0.83,3.10,0.00,5.00,380.74,200.24,0.99,4.77,3271.00,87544.00,0.59,0.11,57.01,118.08,0.39
上海,0.44,0.17,74.05,317.66,59.26,64.43,124.80,8.00,144.08,131.92,1.59,10.38,8630.00,180350.50,0.89,0.39,504.56,178.10,0.70
绍兴,0.16,0.12,61.84,138.26,11.73,19.69,8.80,5.00,230.67,104.52,1.27,6.83,763.10,137522.00,0.72,0.17,197.43,131.53,0.66
苏州,0.43,0.22,100.01,329.03,74.44,91.79,155.40,12.00,145.43,105.37,1.32,7.16,12958.00,186024.00,0.82,0.40,499.65,143.34,1.15
宿迁,0.01,0.06,33.49,72.67,0.40,4.60,0.00,4.00,381.77,154.98,1.47,2.90,132.00,82452.00,0.64,0.18,112.85,105.09,0.47
宿州,-0.06,0.01,31.50,68.63,-1.90,0.92,0.00,5.00,478.84,129.82,2.14,3.56,200.00,41973.40,0.46,0.28,77.22,98.46,0.27
台州,0.07,0.04,26.08,74.19,2.10,3.47,0.70,5.00,321.56,157.76,1.37,5.16,662.00,90572.00,0.64,0.09,210.46,143.02,0.32
泰州,0.22,0.10,39.18,103.59,11.15,11.01,43.90,5.00,221.33,127.36,1.74,5.58,792.00,141830.00,0.69,0.08,100.06,112.98,1.19
铜陵,0.02,0.06,11.28,25.54,0.26,1.56,4.90,7.00,315.25,121.01,1.95,5.49,100.00,93001.54,0.66,0.25,24.29,109.50,0.86
温州,0.03,0.03,22.12,66.37,0.73,1.85,9.20,5.00,409.40,181.56,1.33,5.20,4085.88,83107.00,0.74,0.14,252.37,129.65,0.20
无锡,0.34,0.20,75.06,206.66,39.31,51.86,229.40,6.00,156.02,93.02,1.64,7.05,5292.00,198404.00,0.83,0.31,244.38,136.73,1.39
芜湖,0.08,0.11,26.27,61.80,2.28,7.60,12.90,7.00,297.04,130.35,1.89,5.47,575.00,120668.19,0.74,0.02,73.18,110.96,0.82
徐州,-0.06,0.03,33.24,80.36,-1.97,2.29,0.00,4.00,500.46,175.44,1.42,4.13,1498.00,93731.00,0.67,0.14,194.45,115.82,0.47
宣城,0.11,0.10,21.50,53.86,2.60,5.96,35.00,7.00,258.38,152.81,1.07,3.52,170.00,76729.46,0.63,0.09,55.27,113.28,0.74
盐城,0.16,0.09,29.66,79.55,5.78,7.54,13.70,4.00,304.27,185.11,1.43,2.69,1057.00,105647.00,0.65,0.19,154.08,108.52,0.95
扬州,0.13,0.10,40.93,97.60,6.32,10.88,37.10,5.00,260.02,139.38,1.46,4.68,563.00,155132.00,0.72,0.02,97.40,118.11,1.18
镇江,0.18,0.11,41.21,100.29,8.86,12.71,78.20,6.00,202.79,104.67,1.79,5.47,1064.00,155823.00,0.80,0.17,75.51,120.41,1.34
舟山,0.50,0.22,2.97,21.25,3.01,5.95,30.70,7.00,204.07,132.09,1.40,5.08,2036.00,167134.00,0.73,0.19,23.62,160.12,0.81
